mjd,ra,dec,mag,band,status,permid,provid,obstime_text
60798.13093532407,186.1290828,7.442775,22.362,Lg,p,616827,2001 HL69,2025-05-03T03:08:32.812Z
60793.160320532406,186.9823007,7.3799762,23.012,Lu,p,616827,2001 HL69,2025-04-28T03:50:51.694Z
60799.10433851852,185.9801931,7.4443969,21.971,Lr,p,616827,2001 HL69,2025-05-04T02:30:14.848Z
60795.07321585648,186.6369043,7.4150209,21.847,Lr,p,616827,2001 HL69,2025-04-30T01:45:25.850Z
60797.115774212965,186.2911982,7.4374093,22.305,Lg,p,616827,2001 HL69,2025-05-02T02:46:42.892Z
60795.0340403588,186.6440849,7.4144261,21.868,Lr,p,616827,2001 HL69,2025-04-30T00:49:01.087Z
60795.15593143518,186.6217376,7.4162141,22.259,Lg,p,616827,2001 HL69,2025-04-30T03:44:32.476Z
60799.11207704861,185.9789685,7.4443978,21.961,Lr,p,616827,2001 HL69,2025-05-04T02:41:23.457Z
60797.1245890625,186.2896961,7.4374721,22.386,Lg,p,616827,2001 HL69,2025-05-02T02:59:24.495Z
60795.152488611115,186.6223692,7.4161595,22.284,Lg,p,616827,2001 HL69,2025-04-30T03:39:35.016Z
60798.116696805555,186.1314635,7.4427327,22.308,Lg,p,616827,2001 HL69,2025-05-03T02:48:02.604Z
60793.05300380787,187.0032342,7.3776412,21.746,Li,p,616827,2001 HL69,2025-04-28T01:16:19.529Z
